iter	Passed	Remaining
624	6906	4143
625	6913	4130
626	6923	4118
627	6935	4108
628	6946	4097
629	6958	4086
630	6970	4076
631	6979	4063
632	6990	4052
633	7002	4042
634	7013	4031
635	7024	4020
636	7031	4007
637	7038	3993
638	7050	3983
639	7064	3973
640	7076	3963
641	7085	3950
642	7089	3936
643	7101	3925
644	7112	3914
645	7124	3904
646	7137	3893
647	7149	3883
648	7161	3873
649	7172	3862
650	7183	3851
651	7196	3841
652	7208	3830
653	7218	3818
654	7229	3808
655	7242	3797
656	7254	3787
657	7264	3775
658	7276	3765
659	7287	3754
660	7298	3743
661	7312	3733
662	7323	3722
663	7333	3710
664	7345	3700
665	7356	3689
666	7366	3677
667	7378	3666
668	7390	3656
669	7403	3646
670	7415	3635
671	7426	3624
672	7437	3613
673	7449	3603
674	7460	3592
675	7466	3578
676	7476	3566
677	7487	3556
678	7499	3545
679	7510	3534
680	7515	3520
681	7524	3508
682	7536	3497
683	7547	3486
684	7557	3475
685	7566	3463
686	7576	3451
687	7586	3440
688	7597	3429
689	7609	3418
690	7616	3405
691	7627	3394
692	7640	3384
693	7652	3373
694	7670	3366
695	7697	3362
696	7709	3351
697	7729	3344
698	7746	3335
699	7766	3328
700	7779	3318
701	7797	3310
702	7819	3303
703	7830	3292
704	7837	3279
705	7847	3267
706	7859	3257
707	7871	3246
708	7883	3235
709	7894	3224
710	7905	3213
711	7917	3202
712	7929	3191
713	7941	3180
714	7953	3170
715	7964	3158
716	7974	3147
717	7986	3136
718	7999	3126
719	8008	3114
720	8020	3103
721	8038	3095
722	8053	3085
723	8065	3074
724	8077	3063
725	8083	3050
726	8094	3039
727	8104	3028
728	8115	3016
729	8127	3005
730	8144	2997
731	8169	2990
732	8187	2982
733	8198	2971
734	8224	2965
735	8236	2954
736	8248	2943
737	8263	2933
738	8280	2924
739	8299	2915
740	8310	2904
741	8321	2893
742	8333	2882
743	8342	2870
744	8352	2858
745	8359	2846
746	8370	2834
747	8381	2823
748	8387	2810
749	8398	2799
750	8411	2788
751	8422	2777
752	8435	2766
753	8447	2756
754	8453	2743
755	8456	2729
756	8466	2717
757	8478	2706
758	8488	2695
759	8496	2682
760	8506	2671
761	8517	2660
762	8529	2649
763	8533	2636
764	8544	2624
765	8557	2614
766	8568	2603
767	8580	2591
768	8588	2579
769	8598	2568
770	8611	2557
771	8622	2546
772	8633	2535
773	8645	2524
774	8658	2513
775	8668	2502
776	8672	2489
777	8681	2477
778	8688	2464
779	8699	2453
780	8711	2442
781	8722	2431
782	8733	2420
783	8745	2409
784	8756	2398
785	8767	2387
786	8778	2376
787	8791	2365
788	8802	2353
789	8812	2342
790	8824	2331
791	8830	2319
792	8841	2307
793	8852	2296
794	8863	2285
795	8874	2274
796	8885	2263
797	8896	2251
798	8906	2240
799	8917	2229
800	8924	2217
801	8940	2207
802	8966	2199
803	8980	2189
804	9002	2180
805	9029	2173
806	9045	2163
807	9055	2151
808	9072	2142
809	9087	2131
810	9100	2120
811	9112	2109
