iter	RMSE
809	24487.67804
810	24487.67789
811	24487.67751
812	24487.66339
813	24487.62647
814	24487.62319
815	24487.62303
816	24487.62265
817	24487.61016
818	24487.5993
819	24487.59138
820	24487.58713
821	24487.57738
822	24487.54603
823	24487.53319
824	24487.52301
825	24487.523
826	24487.50554
827	24487.47293
828	24487.46159
829	24487.44065
830	24487.40335
831	24487.37182
832	24487.33316
833	24487.3258
834	24487.32509
835	24487.25254
836	24487.24153
837	24487.23646
838	24487.2201
839	24487.18924
840	24487.16887
841	24487.12168
842	24487.11514
843	24487.11504
844	24487.11332
845	24487.11329
846	24487.09783
847	24487.08896
848	24487.08584
849	24487.0726
850	24487.05226
851	24487.03344
852	24486.99093
853	24486.99052
854	24486.9876
855	24486.96631
856	24486.92923
857	24486.88288
858	24486.86483
859	24486.86478
860	24486.84837
861	24486.83825
862	24486.83609
863	24486.83587
864	24486.83495
865	24486.8328
866	24486.78614
867	24486.78472
868	24486.78462
869	24486.78132
870	24486.77717
871	24486.75831
872	24486.74043
873	24486.73771
874	24486.68309
875	24486.68301
876	24486.67253
877	24486.65828
878	24486.62427
879	24486.57241
880	24486.54609
881	24486.52741
882	24486.52475
883	24486.47442
884	24486.46126
885	24486.45329
886	24486.44668
887	24486.44549
888	24486.4195
889	24486.38219
890	24486.35487
891	24486.32091
892	24486.32026
893	24486.30858
894	24486.26122
895	24486.23041
896	24486.21113
897	24486.18532
898	24486.17682
899	24486.17272
900	24486.16987
901	24486.15396
902	24486.14545
903	24486.13234
904	24486.12705
905	24486.08396
906	24486.05397
907	24486.04049
908	24486.03155
909	24486.00291
910	24485.99316
911	24485.96811
912	24485.95075
913	24485.92342
914	24485.89921
915	24485.86609
916	24485.83291
917	24485.83288
918	24485.791
919	24485.78335
920	24485.78154
921	24485.78128
922	24485.78125
923	24485.76542
924	24485.75429
925	24485.74033
926	24485.72065
927	24485.71718
928	24485.70196
929	24485.66988
930	24485.66988
931	24485.64099
932	24485.62633
933	24485.6221
934	24485.58484
935	24485.55593
936	24485.53811
937	24485.5245
938	24485.50663
939	24485.4885
940	24485.46057
941	24485.44397
942	24485.41728
943	24485.38801
944	24485.35057
945	24485.29894
946	24485.27687
947	24485.27679
948	24485.26203
949	24485.23444
950	24485.20267
951	24485.19517
952	24485.18496
953	24485.13966
954	24485.13963
955	24485.1123
956	24485.08976
957	24485.04769
958	24485.04766
959	24485.03307
960	24484.99117
961	24484.95301
962	24484.9218
963	24484.89554
964	24484.86701
965	24484.83288
966	24484.80455
967	24484.73802
968	24484.7269
969	24484.71769
970	24484.6887
971	24484.65653
972	24484.6291
973	24484.60949
974	24484.59365
975	24484.56881
976	24484.52778
977	24484.49098
978	24484.4794
979	24484.46189
980	24484.43083
981	24484.42076
982	24484.40576
983	24484.39396
984	24484.37368
985	24484.36493
986	24484.34396
987	24484.33197
988	24484.31907
989	24484.31356
990	24484.25952
991	24484.25947
992	24484.22846
993	24484.19496
994	24484.18038
995	24484.16971
996	24484.16226
997	24484.1402
998	24484.1348
999	24484.10593
